MLRCWeather2019July.csv:Time,Battery,Air Temperature,Relative Humidity,Rel. Barometric Pressure,Wind Speed,Max Wind Sp,Wind Direction,Wet Bulb Temperature,Precip Type,Rain Intensity,Total Rain,Interval Rain,Solar Rad,Heading,
MLRCWeather2019July.csv:07/13/2019 12:00:00 AM,11.9,20.9,97,1001.2,0,0,0,20.5,0,0,99.2,0,0,322,23.78
MLRCWeather2019July.csv:07/13/2019 12:00:00 PM,11.9,28.2,50,1004.2,0.6,1.3,275,20.5,0,0,99.2,0,225,322,24.15
MLRCWeather2019July.csv:07/14/2019 12:00:00 AM,11.9,21.2,83,1003.3,0.4,1.1,0,19.1,0,0,99.2,0,0,322,25.06
MLRCWeather2019July.csv:07/14/2019 12:00:00 PM,11.9,28.1,52,1003.4,0.7,3.1,324,20.8,0,0,99.8,0,310,322,25.09
MLRCWeather2019July.csv:07/15/2019 12:00:00 AM,11.9,20.5,65,1006.3,1.1,2.9,310,16.3,0,0,101,0,0,322,25.26
MLRCWeather2019July.csv:07/15/2019 12:00:00 PM,11.9,25.2,48,1007.1,3,5.4,307,17.8,0,0,101,0,807,322,24.92
MLRCWeather2019July.csv:07/16/2019 12:00:00 AM,11.9,22.1,62,1009.8,1.2,2.7,302,17.3,0,0,101,0,0,322,25.47
MLRCWeather2019July.csv:07/16/2019 12:00:00 PM,11.9,27.9,47,1009.7,1.4,3.8,222,19.9,0,0,101,0,812,322,25.35
MLRCWeather2019July.csv:07/17/2019 12:00:00 AM,11.9,22.7,78,1005.8,1.4,3.2,223,19.9,0,0,101,0,0,322,25.86
MLRCWeather2019July.csv:07/17/2019 12:00:00 PM,11.9,26.3,81,1004.2,0.5,1.1,274,23.8,60,0.3,103.5,0,298,322,25.54
MLRCWeather2019July.csv:07/18/2019 12:00:00 AM,11.9,21.1,96,1006.5,0.4,0.7,119,20.7,0,0,104.8,0,0,322,25.69
MLRCWeather2019July.csv:07/18/2019 12:00:00 PM,11.9,23.3,53,1010.5,1.2,2.3,154,17,0,0,104.8,0,860,322,25.32
MLRCWeather2019July.csv:07/19/2019 12:00:00 AM,11.9,18.5,73,1006.8,1.3,1.8,222,15.5,0,0,104.8,0,0,322,25.57
MLRCWeather2019July.csv:07/19/2019 12:00:00 PM,11.9,27,59,1002.6,2,4.2,217,21.1,0,0,104.8,0,813,322,25.38
MLRCWeather2019July.csv:07/20/2019 12:00:00 AM,11.9,23.7,87,999.1,1.1,3.2,219,22,0,0,104.8,0,0,322,26.39
MLRCWeather2019July.csv:07/20/2019 12:00:00 PM,11.9,34,54,1001.1,0.9,2.4,254,26.1,0,0,104.8,0,881,323,26.42
MLRCWeather2019July.csv:07/21/2019 12:00:00 AM,11.9,26.1,86,998.2,0.8,1.7,207,24.3,0,0,104.8,0,0,322,27.65
MLRCWeather2019July.csv:07/21/2019 12:00:00 PM,11.9,32.3,56,996.1,1.3,3.9,317,25,0,0,104.8,0,887,323,27.53
MLRCWeather2019July.csv:07/22/2019 12:00:00 AM,11.9,22.6,81,1002.4,0,0.6,165,20.3,0,0,105.5,0,0,322,27.69
MLRCWeather2019July.csv:07/22/2019 12:00:00 PM,11.9,24.7,53,1006.4,1.5,2.5,306,18.1,0,0,105.5,0,455,322,27.22
MLRCWeather2019July.csv:07/23/2019 12:00:00 AM,11.9,17.8,82,1005.4,0.5,1.2,352,15.9,60,0.1,106.5,0,0,322,26.33
MLRCWeather2019July.csv:07/23/2019 12:00:00 PM,11.9,19.9,68,1004.1,0,0.6,0,16.1,60,0,107.8,0,273,322,25.6
MLRCWeather2019July.csv:07/24/2019 12:00:00 AM,11.9,19.3,84,1005.9,1.2,2.9,231,17.5,0,0,107.8,0,0,322,25.51
MLRCWeather2019July.csv:07/24/2019 12:00:00 PM,11.9,23.5,61,1007.2,1.8,3.1,117,18.4,0,0,107.8,0,261,322,25.49
MLRCWeather2019July.csv:07/25/2019 12:00:00 AM,11.9,18.7,77,1009.8,0.4,0.8,81,16.1,0,0,107.8,0,0,322,25.86
MLRCWeather2019July.csv:07/25/2019 12:00:00 PM,11.9,23.4,49,1012.4,1.1,2.7,114,16.5,0,0,107.8,0,805,322,25.42
MLRCWeather2019July.csv:07/26/2019 12:00:00 AM,11.9,19,86,1014.5,0.3,0.7,210,17.4,0,0,107.8,0,0,322,26.13
MLRCWeather2019July.csv:07/26/2019 12:00:00 PM,11.9,30.7,46,1017.6,0.7,1.6,254,21.8,0,0,107.8,0,806,322,25.85
MLRCWeather2019July.csv:07/27/2019 12:00:00 AM,11.9,20.6,83,1018.5,1.5,4,222,18.7,0,0,107.8,0,0,322,26.46
MLRCWeather2019July.csv:07/27/2019 12:00:00 PM,11.9,29.6,56,1018,1.6,3.6,226,22.9,0,0,107.8,0,771,322,26.28
MLRCWeather2019July.csv:07/28/2019 12:00:00 AM,11.9,19.8,84,1014.9,0.7,2.4,270,18,0,0,107.8,0,0,322,26.54
MLRCWeather2019July.csv:07/28/2019 12:00:00 PM,11.9,27.2,67,1009.7,2,4.3,217,22.5,0,0,107.8,0,765,322,26.1
MLRCWeather2019July.csv:07/29/2019 12:00:00 AM,11.9,21.9,96,1006.6,0,1,0,21.5,0,0,112.6,0,0,322,26.3
MLRCWeather2019July.csv:07/29/2019 12:00:00 PM,11.9,32.1,49,1006.8,0.6,2.1,245,23.6,0,0,112.6,0,820,322,26.42
MLRCWeather2019July.csv:07/30/2019 12:00:00 AM,11.9,23.6,90,1007.1,0.4,0.8,262,22.4,0,0,112.6,0,0,322,27.28
MLRCWeather2019July.csv:07/30/2019 12:00:00 PM,11.9,31.5,56,1008.3,1.5,3.2,202,24.5,0,0,112.6,0,765,323,27.23
MLRCWeather2019July.csv:07/31/2019 12:00:00 AM,11.9,22,93,1008.6,0,0.4,0,21.1,0,0,114.1,0,0,322,28.2
MLRCWeather2019July.csv:07/31/2019 12:00:00 PM,11.9,32.1,53,1008.6,0.5,1.8,297,24.3,0,0,114.1,0,672,323,27.83
